Gene	Bone Marrow	E14.5-Brain	Cerebellum	Cortex	E14.5-Heart	Heart	Intestine	Kidney	E14.5-Limb	E14.5-Liver	Liver	Lung	Olfactory	E14.5-Placenta	Spleen	Testis	Thymus
ENSMUSG00000109813	0	0	0	0	0	0	0	0	0	0	0	0.0156244	0	0	0	0.370798	0
ENSMUSG00000037685	4.178705	5.154745	6.4914075	8.0683025	0.9825825	1.46288075	1.95521185	0.6683485	1.230295	4.752335	0.2920325	8.04811955	8.04209	0.968814525	1.58656875	0.472154	5.84312
ENSMUSG00000050685	0	0	0.168284	0.01993605	0	0	0	0.0199968	0.02881675	0	0	0	0	0.10799395	0	164.882	0
ENSMUSG00000036353	0.9770885	1.66574	2.036555	9.85074	0.476012	0.729411	0.2872385	0.01104965	0.4367175	0.750222	0.256757	0.4237115	4.1275	0.242686	1.65107	0.5867685	1.53484
ENSMUSG00000036356	0.720362	0.508668	0.989482	2.09227	1.5579	0.725947	0.11381625	1.524805	3.54911	0.2486495	0.1378875	1.71823	2.764185	2.183455	0.1340465	0.085507	0.7777475
ENSMUSG00000035024	5.022835	6.23319	4.217565	2.51157	5.12619	0.970123	2.47715	1.27922	5.4353	9.94453	1.11991	1.241125	4.893895	2.66781	1.66223	2.49294	8.46426
ENSMUSG00000037686	0.1116066	0.07997835	0.1922375	0.1966255	0.099111	0.1377129	1.492315	7.890885	0.2076625	0.01791845	32.8745	0.341983	0.307152	1.469355	0.01268725	0.378925	0.3712065
ENSMUSG00000074634	0.647355	7.83762	4.09969	7.34693	1.6596	1.63281	2.667285	9.35885	4.900425	2.36272	1.960385	1.246825	4.986685	3.214195	1.27572	73.1395	2.52578
ENSMUSG00000037689	0	0	0.109856	0	0	0	0	0	0	0	0	0.0404757	0	0	0	47.3767	0
ENSMUSG00000036357	0.02281115	0.04704505	0.10467035	1.228264	0	0	0	0	0	0	0.0067051	0.00545605	0.349124	0.00612065	0	0	0.0324495
ENSMUSG00000035027	10.76345	12.7952	4.36162	3.875715	10.31806	8.785405	17.30295	13.2742	6.5321	9.808665	12.7481	4.985375	4.877835	6.042855	9.95239	7.37594	5.477695
ENSMUSG00000074637	1.53199	47.3642	6.11993	8.111805	0.06632415	0	0.01146195	0	0.4781395	0.0199321	0	3.16931	9.18227	0.340755	0.02875655	0.1370685	0.821857
ENSMUSG00000000392	1.711234	0.243229	0.1685145	0.400653	0.3525135	0.6059335	0.5684905	0.0863643	3.31459	0.0665976	0.0575525	0.1330355	0.3210995	0.1368445	0.17155	0.1296075	0.271363
ENSMUSG00000048371	0.916205	2.375335	1.93272	1.063885	1.51554	3.55192	5.125555	9.28853	1.71568	1.26638	7.011145	1.257295	1.596775	0.5293135	1.33443	0.4884235	1.603145
ENSMUSG00000048373	0.2660975	0.628074	0.29034275	0.357414	0.0235787	0.029561	11.006245	0.9824545	2.082115	0	0	5.58282	1.176535	1.841525	0	0	0.3366185
ENSMUSG00000023031	8.888905	0	0.144011	0.4483895	0.1466326	0.216263	4.110765	41.4188	0.17027	1.423595	6.060405	0.299102	0.6401665	0.1034522	1.495345	159.229	0.343896
ENSMUSG00000023030	2.96921495	2.06378495	2.55597495	2.07379105	1.51202145	1.1453675	3.4995775	5.135125	1.97457755	5.558745	1.3812295	2.27184005	2.4841925	4.5164025	1.274532	1.7602967	1.977645
ENSMUSG00000024360	14.27815	23.9732	9.4617	9.972835	20.3359	8.482105	16.0363	11.8292	20.4416	36.64225	8.15559	9.680475	10.552825	23.5508	12.1257	19.77	15.6298
ENSMUSG00000059022	0	0.621264	0.0759678	0.0505192	1.303585	0.2936815	0.0400123	0.829528	2.891515	0.199468	0.5222965	0.13005925	0.177802	0.2628825	0.139329	0.2101035	0.114205
